x	y
-6.16948	0
-5.3497	-0.46803826
-5.44319	-0.95978144
-4.81853	-1.29112241
-3.81358	-1.38802795
-3.40161	-1.58619734
-3.06378	-1.7688717
-2.37256	-1.661283
-2.55854	-2.14686673
-2.18583	-2.18583491
-1.86112	-2.217991
-1.403	-2.00369665
-1.32092	-2.28790165
-1.09141	-2.34053705
-0.88141	-2.42166238
-0.68631	-2.56134538
-0.3484	-1.97586348
0.172617	-1.97301646
0.348398	-1.97586348
0.530641	-1.98037947
1.039451	-2.85586788
0.766315	-1.64336703
1.783936	-3.08986808
1.50654	-2.15156143
2.564618	-3.05639308
0.96096	-0.96096032
2.167741	-1.81895047
1.728616	-1.21038983
1.692445	-0.97713374
1.820545	-0.84893424
1.991923	-0.72500056
2.291246	-0.61393757
2.389645	-0.42135892
2.447344	-0.21411486
2.784497	0
3.776909	0.330436704
8.863392	1.562855237
11.22057	3.006542615
7.00954	2.551263922
12.3811	5.773401795
11.72403	6.768871704
11.55818	8.09312363
12.40661	10.41038496
11.99965	11.99964677
11.53038	13.74136643
10.79993	15.42389809
10.14719	17.57544057
7.766627	16.65558579
6.510834	17.88836888
6.614839	24.68691368
3.460436	19.62510794
1.75645	20.07631891
-1.05725	20.17347283
-3.09514	22.02308437
-4.43638	19.21606574
-6.89918	21.23347947
-8.58206	20.21806625
-9.74642	18.33035414
-10.6734	16.43560057
-11.34	14.51456806
-12.0992	12.97481827
-12.6128	11.35657908
-12.5013	9.420437193
-12.352	7.718404469
-12.0074	6.118071738
-11.5068	4.649056952
-10.4285	3.188316194
-9.98356	2.122071134
-7.41569	0.910531821
